scientificName,redlistCategory
Oxygonum subfastigiatum,Critically Endangered
Homalium elegantulum,Critically Endangered
Cordia torrei,Endangered
Impatiens mahengeensis,Endangered
Urogentias ulugurensis,Near Threatened
Impatiens nana,Least Concern
Cordia fissistyla,Vulnerable
Blepharispermum xerothamnum,Vulnerable
Clerodendrum cephalanthum,Least Concern
Diospyros bussei,Near Threatened
Impatiens engleri,Near Threatened
Rotheca microphylla,Least Concern
Cavacoa aurea,Least Concern
Tetracera boiviniana,Least Concern
Euphorbia kilwana,Least Concern
Tannodia tenuifolia,Least Concern
Cnestis confertiflora,Least Concern
Impatiens hamata,Endangered
Psilotrichum cyathuloides,Least Concern
Blepharispermum arcuatum,Endangered
Lannea greenwayi,Least Concern
Streptocarpus thysanotus,Critically Endangered
Vernonia luhomeroensis,Vulnerable
Celosia patentiloba,Critically Endangered
Euphorbia selousiana,Least Concern
Cordia trichocladophylla,Critically Endangered
Plumbago ciliata,Critically Endangered
Saintpaulia teitensis,Critically Endangered
Streptocarpus pallidiflorus,Least Concern
Gouania ulugurica,Critically Endangered
Nectaropetalum kaessneri,Least Concern
Erythrococca usambarica,Least Concern
Microglossa hildebrandtii,Least Concern
Streptocarpus bambuseti,Endangered
Premna discolor,Vulnerable
Oxygonum schliebenii,Least Concern
Clerodendrum robustum,Least Concern
Blepharispermum brachycarpum,Endangered
Vachellia etbaica,Least Concern
Lingelsheimia sylvestris,Critically Endangered
Asparagus humilis,Endangered
Vernonia ruvungatundu,Endangered
Tragia pogostemonoides,Critically Endangered
Cassia abbreviata,Least Concern
Impatiens mazumbaiensis,Endangered
Heliotropium benadirense,Endangered
Lasiodiscus pervillei,Least Concern
Blepharispermum minus,Endangered
Kleinia implexa,Least Concern
Diospyros anitae,Least Concern
Cordia guineensis,Least Concern
Premna hildebrandtii,Least Concern
Bothriocline pauciseta,Least Concern
Strychnos xylophylla,Endangered
Momordica henriquesii,Endangered
Phyllanthus frazieri,Vulnerable
Coffea bridsoniae,Endangered
Olea woodiana,Least Concern
Strombosiopsis sp. nov. 'pentamera',Vulnerable
Streptocarpus caulescens,Least Concern
Grandidiera boivinii,Least Concern
Cyathula braunii,Critically Endangered
Ochna polyarthra,Critically Endangered
Vernonia nuxioides,Least Concern
Euphorbia classenii,Least Concern
Impatiens joachimii,Endangered
Coccinia schliebenii,Least Concern
Phyllanthus schliebenii,Critically Endangered
Streptocarpus schliebenii,Vulnerable
Tetracera litoralis,Least Concern
Euphorbia taruensis,Critically Endangered
Xylia schliebenii,Endangered
Balanites maughamii,Least Concern
Chamaecrista mwangokae,Vulnerable
Streptocarpus heckmannianus,Endangered
Impatiens kentrodonta,Vulnerable
Helichrysum kalandanum,Near Threatened
Swertia schliebenii,Vulnerable
Ochna mossambicensis,Least Concern
Streptocarpus saxorum,Least Concern
Clerodendrum myrianthum,Vulnerable
Oxygonum lobatum,Near Threatened
Capparis sepiaria,Least Concern
Impatiens palliderosea,Vulnerable
Sphaeranthus spathulatus,Near Threatened
Hydnora sinandevu,Least Concern
Impatiens ioides,Vulnerable
Gerrardanthus grandiflorus,Near Threatened
Psilotrichum fallax,Vulnerable
Senecio mabberleyi,Endangered
Diospyros uzungwaensis,Critically Endangered
Streptocarpus euanthus,Critically Endangered
Oxygonum magdalenae,Least Concern
Coccinia ulugurensis,Endangered
Crassocephalum splendens,Endangered
Ochna citrina,Critically Endangered
Diplocyclos schliebenii,Least Concern
