scientificName,redlistCategory
Phyllocladus toatoa,Least Concern
Phyllocladus trichomanoides,Least Concern
Abies amabilis,Least Concern
Abies balsamea,Least Concern
Abies cilicica,Near Threatened
Abies concolor,Least Concern
Abies densa,Least Concern
Abies durangensis,Least Concern
Abies fabri,Vulnerable
Abies fargesii,Least Concern
Abies firma,Least Concern
Abies forrestii,Least Concern
Abies grandis,Least Concern
Abies hickelii,Endangered
Abies holophylla,Near Threatened
Abies homolepis,Near Threatened
Abies lasiocarpa,Least Concern
Abies magnifica,Least Concern
Abies mariesii,Least Concern
Abies pindrow,Least Concern
Abies procera,Least Concern
Abies recurvata,Vulnerable
Abies sachalinensis,Least Concern
Abies vejarii,Near Threatened
Cedrus atlantica,Endangered
Cedrus deodara,Least Concern
Keteleeria davidiana,Least Concern
Keteleeria evelyniana,Vulnerable
Larix gmelinii,Least Concern
Larix griffithii,Least Concern
Larix kaempferi,Least Concern
Larix laricina,Least Concern
Larix lyallii,Least Concern
Larix occidentalis,Least Concern
Larix potaninii,Least Concern
Larix sibirica,Least Concern
Picea alcoquiana,Near Threatened
Picea asperata,Vulnerable
Picea crassifolia,Least Concern
Picea engelmannii,Least Concern
Picea glauca,Least Concern
Picea glehnii,Least Concern
Picea jezoensis,Least Concern
Picea koraiensis,Least Concern
Picea likiangensis,Vulnerable
Picea mariana,Least Concern
Picea maximowiczii,Endangered
Picea meyeri,Near Threatened
Picea obovata,Least Concern
Picea orientalis,Least Concern
Picea pungens,Least Concern
Picea purpurea,Near Threatened
Picea rubens,Least Concern
Picea schrenkiana,Least Concern
Picea sitchensis,Least Concern
Picea smithiana,Least Concern
Picea spinulosa,Least Concern
Picea wilsonii,Least Concern
Pinus arizonica,Least Concern
Pinus armandii,Least Concern
Pinus attenuata,Least Concern
Pinus ayacahuite,Least Concern
Pinus balfouriana,Near Threatened
Pinus banksiana,Least Concern
Pinus brutia,Least Concern
Pinus caribaea,Least Concern
Pinus cembroides,Least Concern
Pinus contorta,Least Concern
Pinus coulteri,Near Threatened
Pinus cubensis,Least Concern
Pinus densata,Least Concern
Pinus densiflora,Least Concern
Pinus devoniana,Least Concern
Pinus douglasiana,Least Concern
Pinus durangensis,Near Threatened
Pinus echinata,Least Concern
Pinus edulis,Least Concern
Pinus elliottii,Least Concern
Pinus engelmannii,Least Concern
Pinus flexilis,Least Concern
Pinus glabra,Least Concern
Pinus halepensis,Least Concern
Pinus hartwegii,Least Concern
Pinus herrerae,Least Concern
Pinus hwangshanensis,Least Concern
Pinus jeffreyi,Least Concern
Pinus kesiya,Least Concern
Pinus koraiensis,Least Concern
Pinus lambertiana,Least Concern
Pinus lawsonii,Least Concern
Pinus leiophylla,Least Concern
Pinus lumholtzii,Near Threatened
Pinus luzmariae,Least Concern
Pinus massoniana,Least Concern
Pinus maximinoi,Least Concern
Pinus monophylla,Least Concern
Pinus montezumae,Least Concern
Pinus monticola,Near Threatened
Pinus morrisonicola,Near Threatened
Pinus nigra,Least Concern
Pinus oocarpa,Least Concern
Pinus parviflora,Least Concern
Pinus patula,Least Concern
Pinus pinaster,Least Concern
Pinus ponderosa,Least Concern
Pinus praetermissa,Near Threatened
Pinus pringlei,Least Concern
Pinus pseudostrobus,Least Concern
Pinus pumila,Least Concern
Pinus pungens,Least Concern
Pinus quadrifolia,Least Concern
Pinus radiata,Endangered
Pinus remota,Least Concern
Pinus resinosa,Least Concern
Pinus rigida,Least Concern
Pinus roxburghii,Least Concern
Pinus sabiniana,Least Concern
Pinus serotina,Least Concern
Pinus sibirica,Least Concern
Pinus strobiformis,Least Concern
Pinus strobus,Least Concern
Pinus sylvestris,Least Concern
Pinus tabuliformis,Least Concern
Pinus taeda,Least Concern
Pinus taiwanensis,Least Concern
Pinus teocote,Least Concern
Pinus thunbergii,Least Concern
Pinus torreyana,Critically Endangered
Pinus tropicalis,Vulnerable
Pinus virginiana,Least Concern
Pinus wallichiana,Least Concern
Pinus yunnanensis,Least Concern
Pseudotsuga menziesii,Least Concern
Pseudotsuga sinensis,Vulnerable
Tsuga canadensis,Near Threatened
Tsuga chinensis,Least Concern
Tsuga diversifolia,Least Concern
Tsuga dumosa,Least Concern
Tsuga heterophylla,Least Concern
Tsuga mertensiana,Least Concern
Afrocarpus dawei,Near Threatened
Afrocarpus falcatus,Least Concern
Afrocarpus gracilior,Least Concern
Dacrycarpus cinctus,Least Concern
Dacrycarpus compactus,Least Concern
Dacrycarpus cumingii,Least Concern
Dacrycarpus dacrydioides,Least Concern
Dacrycarpus expansus,Least Concern
Dacrycarpus imbricatus,Least Concern
Dacrydium beccarii,Least Concern
Dacrydium cupressinum,Least Concern
Dacrydium elatum,Least Concern
Dacrydium medium,Vulnerable
Dacrydium nidulum,Least Concern
Dacrydium novoguineense,Least Concern
Dacrydium pectinatum,Endangered
Dacrydium xanthandrum,Least Concern
Falcatifolium falciforme,Near Threatened
Falcatifolium papuanum,Least Concern
Halocarpus bidwillii,Least Concern
Halocarpus biformis,Least Concern
Lepidothamnus intermedius,Least Concern
Lepidothamnus laxifolius,Least Concern
Manoao colensoi,Least Concern
Nageia motleyi,Vulnerable
Nageia wallichiana,Least Concern
Podocarpus acutifolius,Least Concern
Podocarpus aracensis,Least Concern
Podocarpus archboldii,Vulnerable
Podocarpus bracteatus,Least Concern
Podocarpus brasiliensis,Least Concern
Podocarpus brassii,Least Concern
Podocarpus celatus,Least Concern
Podocarpus confertus,Endangered
Podocarpus coriaceus,Least Concern
Podocarpus crassigemma,Least Concern
Podocarpus laetus,Least Concern
Podocarpus elatus,Least Concern
Podocarpus elongatus,Least Concern
Podocarpus glaucus,Least Concern
Podocarpus glomeratus,Near Threatened
Podocarpus grayae,Least Concern
Podocarpus henkelii,Endangered
Podocarpus insularis,Least Concern
Podocarpus latifolius,Least Concern
Podocarpus lawrencei,Least Concern
Podocarpus ledermannii,Least Concern
Podocarpus levis,Least Concern
Podocarpus macrocarpus,Endangered
Podocarpus macrophyllus,Least Concern
Podocarpus madagascariensis,Near Threatened
Podocarpus magnifolius,Least Concern
Podocarpus milanjianus,Least Concern
Podocarpus neriifolius,Least Concern
Podocarpus nivalis,Least Concern
Podocarpus oleifolius,Least Concern
Podocarpus polystachyus,Vulnerable
Podocarpus pseudobracteatus,Least Concern
Podocarpus ridleyi,Vulnerable
Podocarpus rubens,Least Concern
Podocarpus rumphii,Near Threatened
Podocarpus salicifolius,Least Concern
Podocarpus spinulosus,Least Concern
Podocarpus sprucei,Endangered
Podocarpus steyermarkii,Least Concern
Podocarpus tepuiensis,Least Concern
Podocarpus teysmannii,Near Threatened
Podocarpus totara,Least Concern
Prumnopitys ferruginea,Least Concern
Prumnopitys montana,Vulnerable
Prumnopitys taxifolia,Least Concern
Sundacarpus amarus,Least Concern
Taxus canadensis,Least Concern
Taxus chinensis,Endangered
Taxus cuspidata,Least Concern
Torreya nucifera,Least Concern
Abies hidalgensis,Vulnerable
Pinus bhutanica,Least Concern
Falcatifolium sleumeri,Near Threatened
Podocarpus perrieri,Critically Endangered
Asplenium ascensionis,Vulnerable
Dryopteris ascensionis,Extinct
Ptisana purpurascens,Critically Endangered
Oldenlandia adscensionis,Extinct
Pteris adscensionis,Critically Endangered
Sporobolus caespitosus,Critically Endangered
Sporobolus durus,Extinct
Leptocereus quadricostatus,Endangered
Xanthocyparis vietnamensis,Endangered
Callitropsis nootkatensis,Least Concern
Pherosphaera hookeriana,Near Threatened
Diospyros ekodul,Endangered
Diospyros esmereg,Vulnerable
Diospyros tero,Critically Endangered
Acanthopale decempedalis,Vulnerable
Asystasia glandulifera,Vulnerable
Brachystephanus giganteus,Vulnerable
Brachystephanus kupeensis,Critically Endangered
Brachystephanus longiflorus,Vulnerable
Brillantaisia lancifolia,Vulnerable
Justicia camerunensis,Vulnerable
Justicia leucoxiphus,Endangered
Justicia orbicularis,Vulnerable
Pseuderanthemum dispersum,Vulnerable
Staurogyne bicolor,Vulnerable
Whitfieldia preussii,Vulnerable
Cyathula fernando-poensis,Endangered
Monodora zenkeri,Vulnerable
Uvariopsis submontana,Endangered
Uvariopsis vanderystii,Vulnerable
Xylopia africana,Vulnerable
Astropanax mannii,Vulnerable
Impatiens frithii,Endangered
Impatiens letouzeyi,Endangered
Impatiens sakeriana,Vulnerable
Begonia adpressa,Vulnerable
Begonia bonus-henricus,Endangered
Begonia duncan-thomasii,Vulnerable
Begonia furfuracea,Endangered
Begonia pelargoniiflora,Endangered
Begonia pseudoviola,Endangered
Dielsantha galeopsoides,Near Threatened
Cylicomorpha solmsii,Near Threatened
Salacia mamba,Near Threatened
Magnistipula conrauana,Endangered
Diospyros kupensis,Vulnerable
Dalbergia oligophylla,Least Concern
Amphiblemma amoenum,Vulnerable
Dorstenia astyanactis,Vulnerable
Coffea bakossii,Endangered
Rhaptopetalum geophylax,Near Threatened
Acer leipoense,Endangered
Acer miaotaiense,Near Threatened
Paphiopedilum armeniacum,Endangered
Paphiopedilum dianthum,Endangered
Paphiopedilum emersonii,Critically Endangered
Paphiopedilum tigrinum,Endangered
Scilla morrisii,Endangered
Centaurea akamantis,Critically Endangered
Atriplex lanfrancoi,Endangered
Succisella andreae-molinae,Endangered
Euphorbia margalidiana,Vulnerable
Delphinium caseyi,Critically Endangered
Polystachya albescens,Least Concern
Coleocephalocereus buxbaumianus,Endangered
Ilex mitis,Least Concern
Croton longipedicellatus,Least Concern
Drypetes usambarica,Least Concern
Mallotus oppositifolius,Least Concern
Necepsia castaneifolia,Vulnerable
Cassia afrofistula,Least Concern
Delonix leucantha,Near Threatened
Pterocarpus mildbraedii,Least Concern
Tessmannia martiniana,Endangered
Zenkerella capparidacea,Vulnerable
Betula pendula,Least Concern
Quercus ilex,Least Concern
Quercus parvula,Near Threatened
Quercus petraea,Least Concern
Magnolia cubensis,Vulnerable
Magnolia guatemalensis,Least Concern
Magnolia macrophylla,Least Concern
Magnolia pacifica,Endangered
Magnolia sororum,Near Threatened
Magnolia fordiana,Least Concern
Myristica fatua,Least Concern
Rhodognaphalon schumannianum,Least Concern
Canthium glaucum,Least Concern
Canthium oligocarpum,Least Concern
Coffea mufindiensis,Least Concern
Oxyanthus lepidus,Least Concern
Oxyanthus pyriformis,Least Concern
Acer buergerianum,Least Concern
Acer caesium,Least Concern
Acer longipes,Least Concern
Acer negundo,Least Concern
Acer oblongum,Least Concern
Lannea welwitschii,Least Concern
Commiphora campestris,Least Concern
Vepris hanangensis,Near Threatened
Shorea macroptera,Least Concern
Oncoba tettensis,Least Concern
Betula tianschanica,Data Deficient
Alnus glutinosa,Least Concern
Corylus avellana,Least Concern
Diospyros lotus,Least Concern
Quercus robur,Least Concern
Podocarpus chingianus,Data Deficient
Widdringtonia nodiflora,Least Concern
Platanthera praeclara,Endangered
Alocasia atropurpurea,Critically Endangered
Alocasia sinuata,Critically Endangered
Rafflesia magnifica,Critically Endangered
Senecio leucopeplus,Extinct in the Wild
Gaultheria nubigena,Vulnerable
Oxalis chachahuensis,Endangered
Riccia alatospora,Vulnerable
Cymodocea nodosa,Least Concern
Zostera marina,Least Concern
Monanthotaxis trichantha,Vulnerable
Amorphophallus stuhlmannii,Endangered
Kniphofia goetzei,Vulnerable
Callopsis volkensii,Near Threatened
Aloe massawana,Vulnerable
Cyrtanthus sanguineus,Least Concern
Aloe congdonii,Near Threatened
Asparagus faulknerae,Least Concern
Aloe vituensis,Least Concern
Crinum politifolium,Least Concern
Gymnosiphon usambaricus,Endangered
Pandanus rabaiensis,Near Threatened
Gladiolus rupicola,Least Concern
Asparagus usambarensis,Endangered
Hypoxis malaissei,Data Deficient
Aloe leedalii,Least Concern
Monanthotaxis dictyoneura,Endangered
Uvaria denhardtiana,Near Threatened
Toussaintia patriciae,Endangered
Aloe brandhamii,Endangered
Uvaria tanzaniae,Vulnerable
Uvaria dependens,Endangered
Aloe ukambensis,Vulnerable
Chlorophytum holstii,Least Concern
Aloe pembana,Critically Endangered
Cryptotaenia calycina,Endangered
Stylochaeton salaamicus,Least Concern
Aloe bussei,Vulnerable
Gonatopus petiolulatus,Vulnerable
Afrothismia insignis,Vulnerable
Uvaria kirkii,Near Threatened
Aloe deserti,Near Threatened
Gonatopus marattioides,Endangered
Afrothismia baerae,Critically Endangered
Culcasia orientalis,Data Deficient
Cryptotaenia polygama,Endangered
Gladiolus usambarensis,Near Threatened
Kabuyea hostifolia,Least Concern
Pandanus kirkii,Least Concern
Uvaria acuminata,Least Concern
Sphaerocoryne gracilis,Least Concern
Aloe richardsiae,Near Threatened
Aloe classenii,Critically Endangered
Aloe volkensii,Least Concern
Uvaria lungonyana,Vulnerable
Uvaria decidua,Critically Endangered
Aloe kilifiensis,Endangered
Lefebvrea droopii,Vulnerable
Chlorophytum filipendulum,Least Concern
Aloe flexilifolia,Critically Endangered
Monanthotaxis trichocarpa,Least Concern
Aloe brachystachys,Vulnerable
Aloe rabaiensis,Least Concern
Artabotrys modestus,Least Concern
Aloe leptosiphon,Critically Endangered
Polyscias albersiana,Endangered
Stylochaeton euryphyllus,Vulnerable
Aloe microdonta,Least Concern
Stylochaeton milneanus,Vulnerable
Monanthotaxis faulknerae,Endangered
Uvaria faulknerae,Endangered
Uvaria leptocladon,Least Concern
Artabotrys rupestris,Endangered
Uvaria lucida,Least Concern
Moraea iringensis,Least Concern
Uvaria puguensis,Critically Endangered
Aloe leachii,Vulnerable
Aloe penduliflora,Endangered
Cussonia zimmermannii,Least Concern
Aloe boscawenii,Critically Endangered
Aloe dorotheae,Critically Endangered
Stylochaeton bogneri,Endangered
Anchomanes abbreviatus,Least Concern
Monanthotaxis discrepantinervia,Endangered
Stylochaeton crassispathus,Vulnerable
Moraea callista,Vulnerable
Gonatopus clavatus,Least Concern
Potentilla delphinensis,Vulnerable
Limonium pseudolaetum,Near Threatened
Viola paradoxa,Data Deficient
Aster pyrenaeus,Endangered
Primula palinuri,Endangered
Artemisia oelandica,Near Threatened
Scrophularia sublyrata,Data Deficient
Campanula vidalii,Endangered
Alisma wahlenbergii,Vulnerable
Moehringia villosa,Data Deficient
Daphne petraea,Least Concern
Erigeron frigidus,Endangered
Gentianella bohemica,Vulnerable
Lotus kunkelii,Critically Endangered
Plantago algarbiensis,Endangered
Sonchus bupleuroides,Endangered
Silene velutina,Near Threatened
Sisymbrium supinum,Least Concern
Eleocharis carniolica,Least Concern
Eryngium viviparum,Endangered
Phagnalon bennettii,Least Concern
Bromus grossus,Data Deficient
Saxifraga berica,Vulnerable
Alyssum pintodasilvae,Data Deficient
Fritillaria drenovskii,Vulnerable
Centaurea pulvinata,Vulnerable
Euphorbia handiensis,Vulnerable
Carlina onopordifolia,Vulnerable
Linum dolomiticum,Data Deficient
Galium litorale,Near Threatened
Jasione lusitanica,Endangered
Saxifraga presolanensis,Endangered
Boleum asperum,Least Concern
Aconitum corsicum,Vulnerable
Cirsium latifolium,Least Concern
Androsace mathildae,Data Deficient
Marsilea quadrifolia,Least Concern
Viola delphinantha,Near Threatened
Solenanthus albanicus,Endangered
Teucrium lepicephalum,Endangered
Papaver laestadianum,Vulnerable
Viola athois,Vulnerable
Convolvulus lopezsocasii,Endangered
Myosotis lusitanica,Data Deficient
Thymus camphoratus,Near Threatened
Herniaria maritima,Least Concern
Minuartia smejkalii,Data Deficient
Crocus hartmannianus,Vulnerable
Limonium sventenii,Critically Endangered
Centaurea lancifolia,Endangered
Cheirolophus junonianus,Endangered
Globularia stygia,Vulnerable
Colchicum corsicum,Vulnerable
Lotus callis-viridis,Endangered
Myosotis azorica,Vulnerable
Galium viridiflorum,Endangered
Primula spectabilis,Least Concern
Arabis scopoliana,Data Deficient
Helichrysum gossypinum,Vulnerable
Linaria ficalhoana,Data Deficient
Athamanta cortiana,Critically Endangered
Narcissus cyclamineus,Least Concern
Astragalus aquilanus,Data Deficient
Gypsophila papillosa,Endangered
Euphorbia nevadensis,Least Concern
Silene holzmannii,Endangered
Puccinellia pungens,Vulnerable
Silene rothmaleri,Near Threatened
Jurinea fontqueri,Critically Endangered
Leontodon boryi,Near Threatened
Dianthus diutinus,Endangered
Tulipa cypria,Endangered
Phalaris maderensis,Vulnerable
Saxifraga cintrana,Data Deficient
Myosotis rehsteineri,Endangered
Astragalus tremolsianus,Critically Endangered
Onopordum nogalesii,Critically Endangered
Crambe laevigata,Endangered
Crocus etruscus,Near Threatened
Odontites hollianus,Data Deficient
Andryala crithmifolia,Critically Endangered
Thesium subsucculentum,Critically Endangered
Antirrhinum charidemi,Critically Endangered
Campanula bohemica,Near Threatened
Primula glaucescens,Least Concern
Aquilegia bertolonii,Least Concern
Trifolium saxatile,Near Threatened
Centaurea pinnata,Near Threatened
Seseli leucospermum,Near Threatened
Centaurea corymbosa,Vulnerable
Pinguicula nevadensis,Endangered
Dianthus nitidus,Near Threatened
Pulsatilla slavica,Data Deficient
Fritillaria conica,Endangered
Primula carniolica,Least Concern
Digitalis chalcantha,Critically Endangered
Narcissus scaberulus,Least Concern
Petrocoptis grandiflora,Vulnerable
Narcissus calcicola,Least Concern
Thymus lotocephalus,Near Threatened
Atractylis arbuscula,Endangered
Odontites granatensis,Critically Endangered
Vincetoxicum pannonicum,Vulnerable
Armeria pseudarmeria,Endangered
Coincya rupestris,Endangered
Ionopsidium acaule,Least Concern
Antirrhinum lopesianum,Endangered
Artemisia genipi,Least Concern
Armeria rouyana,Near Threatened
Scorzoneroides microcephala,Vulnerable
Ferula sadleriana,Endangered
Oenanthe conioides,Data Deficient
Saxifraga tombeanensis,Endangered
Lactuca watsoniana,Endangered
Cerastium alsinifolium,Data Deficient
Cheirolophus ghomerythus,Endangered
Plantago malato-belizii,Data Deficient
Primula apennina,Vulnerable
Artemisia granatensis,Endangered
Galium sudeticum,Vulnerable
Limonium multiflorum,Least Concern
Argyranthemum winteri,Critically Endangered
Scrophularia herminii,Data Deficient
Crepis granatensis,Endangered
Goodyera macrophylla,Critically Endangered
Armeria berlengensis,Critically Endangered
Poa riphaea,Endangered
Saxifraga vayredana,Least Concern
Astragalus verrucosus,Critically Endangered
Hypochaeris oligocephala,Critically Endangered
Veronica micrantha,Vulnerable
Ramonda serbica,Least Concern
Noccaea jankae,Near Threatened
Anarrhinum longipedicellatum,Near Threatened
Campanula sabatia,Vulnerable
Crambe arborea,Vulnerable
Digitalis isabelliana,Endangered
Pulsatilla grandis,Least Concern
Linaria ricardoi,Near Threatened
Linaria loeselii,Near Threatened
Fritillaria gussichiae,Data Deficient
Argyranthemum thalassophilum,Endangered
Atractylis preauxiana,Endangered
Beta patula,Critically Endangered
Dendriopoterium pulidoi,Vulnerable
Herniaria algarvica,Vulnerable
Petrocoptis pseudoviscosa,Vulnerable
Cirsium brachycephalum,Least Concern
Paeonia parnassica,Endangered
Helichrysum monogynum,Endangered
Narcissus asturiensis,Least Concern
Colchicum arenarium,Least Concern
Centaurea kartschiana,Data Deficient
Primula scandinavica,Near Threatened
Potentilla emilii-popii,Data Deficient
Geranium maderense,Critically Endangered
Sideritis infernalis,Vulnerable
Onosma tornensis,Endangered
Arabis sadina,Data Deficient
Armeria sampaioi,Vulnerable
Tanacetum ptarmiciflorum,Endangered
Santolina semidentata,Least Concern
Centaurea peucedanifolia,Vulnerable
Borderea chouardii,Critically Endangered
Stipa bavarica,Vulnerable
Convolvulus caput-medusae,Near Threatened
Artemisia eriantha,Least Concern
Centaurea citricolor,Near Threatened
Silene hifacensis,Endangered
Bencomia sphaerocarpa,Critically Endangered
Narcissus triandrus,Least Concern
Cistus palhinhae,Data Deficient
Androsace pyrenaica,Least Concern
Stipa styriaca,Endangered
Cochlearia tatrae,Vulnerable
Linaria coutinhoi,Data Deficient
Linaria algarviana,Least Concern
Limonium arborescens,Near Threatened
Artemisia pancicii,Data Deficient
Armeria soleirolii,Endangered
Aeonium gomerense,Endangered
Silene longicilia,Least Concern
Cochlearia polonica,Endangered
Centaurea horrida,Endangered
Scilla madeirensis,Least Concern
Luronium natans,Least Concern
Pericallis hadrosoma,Critically Endangered
Saxifraga florulenta,Least Concern
Brassica macrocarpa,Critically Endangered
Ranunculus weyleri,Vulnerable
Iris marsica,Data Deficient
Draba cacuminum,Data Deficient
Dianthus lumnitzeri,Data Deficient
Physoplexis comosa,Least Concern
Phlomis brevibracteata,Data Deficient
Onopordum carduelium,Critically Endangered
Anthyllis lemanniana,Data Deficient
Armeria neglecta,Data Deficient
Calendula maderensis,Least Concern
Daphne arbuscula,Data Deficient
Saxifraga valdensis,Near Threatened
Erodium paularense,Endangered
Erodium astragaloides,Critically Endangered
Teucrium charidemi,Near Threatened
Tripolium sorrentinoi,Endangered
Thymus carnosus,Near Threatened
Limonium spectabile,Critically Endangered
Galanthus nivalis,Near Threatened
Echium gentianoides,Vulnerable
Linaria tonzigii,Endangered
Teline salsoloides,Critically Endangered
Androsace cylindrica,Least Concern
Petrocoptis montsicciana,Near Threatened
Alyssum pyrenaicum,Vulnerable
Angelica heterocarpa,Least Concern
Galium cracoviense,Vulnerable
Gladiolus palustris,Data Deficient
Sisymbrium cavanillesianum,Vulnerable
Asphodelus bento-rainhae,Vulnerable
Rumex rupestris,Vulnerable
Erucastrum palustre,Critically Endangered
Centaurea lactiflora,Near Threatened
Arenaria provincialis,Near Threatened
Salvia granatensis,Endangered
Euphrasia genargentea,Least Concern
Centaurea jankae,Vulnerable
Tozzia carpathica,Data Deficient
Sedum brissemoretii,Vulnerable
Bupleurum handiense,Endangered
Calamagrostis chalybaea,Least Concern
Omphalodes kuzinskyanae,Vulnerable
Crocus cyprius,Vulnerable
Ophrys kotschyi,Near Threatened
Stemmacantha cynaroides,Endangered
Himantoglossum adriaticum,Least Concern
Sideritis javalambrensis,Vulnerable
Parolinia schizogynoides,Vulnerable
Ranunculus kykkoensis,Vulnerable
Vicia bifoliolata,Critically Endangered
Globularia ascanii,Critically Endangered
Lindernia procumbens,Least Concern
Carex malato-belizii,Least Concern
Monanthes wildpretii,Critically Endangered
Symphytum cycladense,Vulnerable
Musschia aurea,Least Concern
Verbascum litigiosum,Vulnerable
Limonium dendroides,Critically Endangered
Sideritis marmorea,Critically Endangered
Ulex densus,Least Concern
Bunium brevifolium,Data Deficient
Jasminum azoricum,Critically Endangered
Centaurea immanuelis-loewii,Vulnerable
Scilla odorata,Data Deficient
Pulsatilla subslavica,Data Deficient
Oenanthe divaricata,Least Concern
Erodium rupicola,Vulnerable
Sinapidendron rupestre,Critically Endangered
Dianthus moravicus,Data Deficient
Helianthemum alypoides,Vulnerable
Aeonium saundersii,Vulnerable
Hyoseris frutescens,Data Deficient
Phlomis cypria,Data Deficient
Stipa austroitalica,Least Concern
Aichryson dumosum,Critically Endangered
Crambe sventenii,Critically Endangered
Dorycnium spectabile,Endangered
Picris willkommii,Endangered
Ferula latipinna,Vulnerable
Festuca henriquesii,Least Concern
Laserpitium longiradium,Critically Endangered
Centaurea niederi,Vulnerable
Silene orphanidis,Endangered
Seseli intricatum,Endangered
Santolina elegans,Vulnerable
Sideritis cypria,Vulnerable
Ionopsidium savianum,Near Threatened
Hymenostemma pseudanthemis,Data Deficient
Astragalus maritimus,Critically Endangered
Silene mariana,Near Threatened
Euphrasia mendoncae,Extinct
Senecio elodes,Endangered
Limonium insulare,Near Threatened
Iris boissieri,Critically Endangered
Viola hispida,Critically Endangered
Anthyllis lusitanica,Data Deficient
Linum muelleri,Vulnerable
Saxifraga osloensis,Vulnerable
Thymelaea broteriana,Near Threatened
Cheirolophus duranii,Critically Endangered
Arnica montana,Least Concern
Eryngium alpinum,Near Threatened
Solanum lidii,Critically Endangered
Festuca duriotagana,Data Deficient
Teline rosmarinifolia,Endangered
Sibthorpia peregrina,Least Concern
Cerastium dinaricum,Vulnerable
Centaurea gadorensis,Vulnerable
Corydalis gotlandica,Near Threatened
Argyranthemum lidii,Endangered
Gentiana ligustica,Least Concern
Diplotaxis ibicensis,Least Concern
Euphorbia transtagana,Least Concern
Sideritis discolor,Critically Endangered
Saxifraga portosanctana,Vulnerable
Origanum dictamnus,Near Threatened
Leontodon siculus,Near Threatened
Anagyris latifolia,Endangered
Colchicum psammophilum,Vulnerable
Murbeckiella sousae,Near Threatened
Sideritis serrata,Critically Endangered
Centaurea borjae,Endangered
Plantago almogravensis,Critically Endangered
Erysimum pieninicum,Vulnerable
Globularia sarcophylla,Vulnerable
Moehringia tommasinii,Endangered
Biscutella neustriaca,Vulnerable
Centaurium somedanum,Vulnerable
Sideritis cystosiphon,Critically Endangered
Aquilegia kitaibelii,Data Deficient
Teucrium turredanum,Vulnerable
Allium grosii,Least Concern
Moehringia jankae,Data Deficient
Soldanella villosa,Vulnerable
Gentianella anglica,Data Deficient
Adonis distorta,Data Deficient
Bencomia brachystachya,Critically Endangered
Euphrasia marchesettii,Vulnerable
Aquilegia alpina,Least Concern
Musschia wollastonii,Endangered
Festuca brigantina,Vulnerable
Stipa veneta,Endangered
Centaurea heldreichii,Critically Endangered
Centaurea princeps,Endangered
Rumex algeriensis,Endangered
Hypericum afrum,Near Threatened
Carex fissirostris,Endangered
Juncus articulatus,Least Concern
Selaginella denticulata,Least Concern
Myosotis welwitschii,Least Concern
Salvinia natans,Least Concern
Cyperus microbolbos,Data Deficient
Sisymbrella aspera,Least Concern
Sedum bracteatum,Data Deficient
Sonchus mauritanicus,Near Threatened
Myosotis debilis,Least Concern
Limonium duriaei,Vulnerable
Limonium battandieri,Data Deficient
Sonchus macrocarpus,Data Deficient
Callitriche regis-jubae,Data Deficient
Lythrum baeticum,Near Threatened
Carex hispida,Least Concern
Limonium cymuliferum,Near Threatened
Plagius flosculosus,Vulnerable
Poa dimorphantha,Least Concern
Salix pedicellata,Least Concern
Carum lacuum,Vulnerable
Limonium mouretii,Near Threatened
Linaria fallax,Near Threatened
Lysimachia cousiniana,Near Threatened
Potamogeton lucens,Least Concern
Pulicaria laciniata,Least Concern
Mentha insularis,Least Concern
Solenopsis bicolor,Near Threatened
Cirsium ducellieri,Vulnerable
Anagallis crassifolia,Near Threatened
Helosciadium inundatum,Least Concern
Euphorbia cuneifolia,Least Concern
Cirsium chrysacanthum,Near Threatened
Phalaris truncata,Least Concern
Eryngium atlanticum,Near Threatened
Potentilla maura,Near Threatened
Euphorbia nereidum,Vulnerable
Ranunculus penicillatus,Least Concern
Brachiaria eruciformis,Least Concern
Lotus benoistii,Critically Endangered
Agrostis tenerrima,Near Threatened
Eryngium maroccanum,Near Threatened
Juncus sorrentinii,Vulnerable
Pilularia minuta,Endangered
Euphorbia paniculata,Least Concern
Typha angustifolia,Least Concern
Eryngium corniculatum,Least Concern
Damasonium bourgaei,Least Concern
Epilobium psilotum,Near Threatened
Chrysosplenium dubium,Near Threatened
Elatine brochonii,Near Threatened
Selaginella balansae,Least Concern
Campanula mairei,Vulnerable
Salix libani,Near Threatened
Pinguicula fontiqueriana,Vulnerable
Leptochloa ginae,Endangered
Gnaphalium crispatulum,Data Deficient
Callitriche cribrosa,Near Threatened
Vicia fulgens,Critically Endangered
Oenanthe globulosa,Least Concern
Isolepis pseudosetacea,Least Concern
Ruppia cirrhosa,Least Concern
Ranunculus dyris,Least Concern
Bellis caerulescens,Least Concern
Gratiola linifolia,Least Concern
Campanula alata,Near Threatened
Mentha cervina,Near Threatened
Rorippa hayanica,Vulnerable
Ranunculus granatensis,Least Concern
Dactylorhiza maurusia,Endangered
Eleocharis macrantha,Least Concern
Isoetes olympica,Critically Endangered
Exaculum pusillum,Near Threatened
Sisymbrella dentata,Endangered
Carum asinorum,Endangered
Chaerophyllum atlanticum,Near Threatened
Genista ancistrocarpa,Endangered
Carum jahandiezii,Near Threatened
Limonium ornatum,Vulnerable
Jacobaea gigantea,Near Threatened
Spergularia doumerguei,Vulnerable
Viola maroccana,Least Concern
Epilobium numidicum,Critically Endangered
Rumex ginii,Near Threatened
Scrophularia tenuipes,Near Threatened
