grupo,nombre cientifico,Nombre común,Familia,Género,Epíteto específico,Categoría de amenaza,Estado taxonómico,Autoría nombre científico,Identificador del taxón
Árbol,Ficus eliadis,Copé | Matapalo,Moraceae,Ficus,eliadis,EN,Aceptado,Standl.,gbif.org/species/5572022
Árbol,Ficus guatiquiae,,Moraceae,Ficus,guatiquiae,EN,Aceptado,Dugand,gbif.org/species/5570830
Árbol,Ficus tequendamae,Tapás,Moraceae,Ficus,tequendamae,EN,Aceptado,Dugand,gbif.org/species/5569602
Árbol,Compsoneura anoriensis,Castaño de Anorí,Myristicaceae,Compsoneura,anoriensis,EN,Aceptado,Janovec & A.K.Neill,gbif.org/species/5564582
Árbol,Iryanthera megistocarpa,Sota,Myristicaceae,Iryanthera,megistocarpa,EN,Aceptado,A.H.Gentry,gbif.org/species/3743874
Árbol,Otoba acuminata,Otobo,Myristicaceae,Otoba,acuminata,VU,Aceptado,(Standl.) A.H.Gentry,gbif.org/species/3743798
Árbol,Otoba lehmannii,Cuángare otobo,Myristicaceae,Otoba,lehmannii,VU,Aceptado,(A.C.Sm.) A.H.Gentry,gbif.org/species/3743742
Árbol,Virola dixonii,Cuángare de Dixon,Myristicaceae,Virola,dixonii,VU,Aceptado,Little,gbif.org/species/3743473
Árbol,Eugenia variareolata,,Myrtaceae,Eugenia,variareolata,EN,Aceptado,Mc Vaugh,gbif.org/species/10648894
Árbol,Myrcia estoraquensis,Guayabillo,Myrtaceae,Myrcia,estoraquensis,CR,Aceptado,(Parra-Os.) A.R.Lourenço & Parra-Os.,gbif.org/species/10800214
Árbol,Myrcia lozanoi,Guayabo liso,Myrtaceae,Myrcia,lozanoi,VU,Aceptado,(Parra-Os.) A.R.Lourenço & Parra-Os.,gbif.org/species/10694638
Árbol,Myrcia pseudobrunneica,,Myrtaceae,Myrcia,pseudobrunneica,EN,Aceptado,(Parra-Os.) A.R.Lourenço & Parra-Os.,gbif.org/species/10873906
Árbol,Cephalotomandra fragrans,Talco,Nyctaginaceae,Cephalotomandra,fragrans,EN,Aceptado,Karst. & Triana,gbif.org/species/3701487
Árbol,Guapira uberrima,,Nyctaginaceae,Guapira,uberrima,EN,Aceptado,(Standl.) Lundell,gbif.org/species/3700580
Árbol,Ouratea pyrifera,,Ochnaceae,Ouratea,pyrifera,VU,Aceptado,Cuatrec.,gbif.org/species/3695360
Árbol,Chionanthus abriaquiensis,,Oleaceae,Chionanthus,abriaquiensis,CR,Aceptado,Fern.Alonso & Cogollo,gbif.org/species/9625721
Árbol,Acineta antioquiae,,Orchidaceae,Acineta,antioquiae,CR,Aceptado,Schltr.,gbif.org/species/5310316
Árbol,Acineta moorei,,Orchidaceae,Acineta,moorei,EN,Aceptado,Rolfe,gbif.org/species/166231441
Árbol,Andinia monilia,,Orchidaceae,Andinia,monilia,EN,Aceptado,(Luer & R.Escobar) Karremans & S.V.Uribe,gbif.org/species/10906134
Árbol,Anguloa cliftonii,,Orchidaceae,Anguloa,cliftonii,CR,Aceptado,J.G.Fowler,gbif.org/species/7697417
Árbol,Anguloa clowesii,Cuna de Venus,Orchidaceae,Anguloa,clowesii,EN,Aceptado,Lindl.,gbif.org/species/2812546
Árbol,Anguloa dubia,,Orchidaceae,Anguloa,dubia,CR,Aceptado,Rchb.f.,gbif.org/species/2812556
Árbol,Anguloa eburnea,,Orchidaceae,Anguloa,eburnea,VU,Aceptado,Linden ex B.S.Williams,gbif.org/species/2812559
Árbol,Anguloa hohenlohii,,Orchidaceae,Anguloa,hohenlohii,EN,Aceptado,C.Morren,gbif.org/species/2812566
Árbol,Anguloa virginalis,Cuna de Venus,Orchidaceae,Anguloa,virginalis,VU,Aceptado,B.S.Williams,gbif.org/species/166232140
Árbol,Byrsella fragrans,,Orchidaceae,Byrsella,fragrans,EN,Sinónimo,(Woolward) Luer,gbif.org/species/2848969
Árbol,Cattleya dowiana,,Orchidaceae,Cattleya,dowiana,VU,Aceptado,Bateman & Rchb.f.,gbif.org/species/2801202
Árbol,Cattleya quadricolor,,Orchidaceae,Cattleya,quadricolor,EN,Aceptado,B.S.Williams,gbif.org/species/7702769
Árbol,Cattleya schroederae,,Orchidaceae,Cattleya,schroederae,EN,Aceptado,(Rchb.f.) Sander,gbif.org/species/2801054
Árbol,Cattleya trianae,Flor de mayo | Catleya | Catleya blanca | Catleya de Triana | Flor de mayo | Flor de San Juan | Flor nacional | Lirio de mayo | Orquídea,Orchidaceae,Cattleya,trianae,EN,Aceptado,Linden & Rchb.f.,gbif.org/species/4935172
Árbol,Cattleya warscewiczii,Flor de San Juan | Flor de San Roque | Lirio,Orchidaceae,Cattleya,warscewiczii,EN,Aceptado,Rchb.f.,gbif.org/species/2801043
Árbol,Comparettia ignea,,Orchidaceae,Comparettia,ignea,CR,Aceptado,P.Ortiz,gbif.org/species/2796017
Árbol,Coryanthes toulemondiana,,Orchidaceae,Coryanthes,toulemondiana,CR,Aceptado,G.Gerlach & T.Franke,gbif.org/species/2795687
Árbol,Coryanthes vieirae,,Orchidaceae,Coryanthes,vieirae,CR,Aceptado,G.Gerlach,gbif.org/species/2795689
Árbol,Coryanthes villegasiana,,Orchidaceae,Coryanthes,villegasiana,CR,Aceptado,Peláez,gbif.org/species/2795704
Árbol,Cycnoches barthiorum,,Orchidaceae,Cycnoches,barthiorum,VU,Aceptado,G.F.Carr & Christenson,gbif.org/species/2783305
Árbol,Cycnoches brachydactylon,,Orchidaceae,Cycnoches,brachydactylon,EN,Aceptado,Schltr.,gbif.org/species/2783324
Árbol,Cycnoches herrenhusanum,,Orchidaceae,Cycnoches,herrenhusanum,VU,Aceptado,Jenny & G.A.Romero,gbif.org/species/2783341
Árbol,Cyrtochilum betancurii,,Orchidaceae,Cyrtochilum,betancurii,CR,Aceptado,Giraldo & Dalström,gbif.org/species/9374519
Árbol,Cyrtochilum corniculatum,,Orchidaceae,Cyrtochilum,corniculatum,CR,Aceptado,Dalström,gbif.org/species/9366490
Árbol,Cyrtochilum englerianum,,Orchidaceae,Cyrtochilum,englerianum,VU,Aceptado,(Kraenzl.) Kraenzl.,gbif.org/species/2833106
Árbol,Cyrtochilum exasperatum,,Orchidaceae,Cyrtochilum,exasperatum,VU,Aceptado,(Linden & Rchb.f.) Kraenzl.,gbif.org/species/2833003
Árbol,Cyrtochilum ioplocon,,Orchidaceae,Cyrtochilum,ioplocon,EN,Aceptado,(Rchb.f.) Dalström,gbif.org/species/2832712
Árbol,Cyrtochilum ixioides,,Orchidaceae,Cyrtochilum,ixioides,VU,Aceptado,Lindl.,gbif.org/species/2832664
Árbol,Cyrtochilum leucopterum,,Orchidaceae,Cyrtochilum,leucopterum,EN,Aceptado,(Rchb.f.) Dalström,gbif.org/species/2832706
Árbol,Cyrtochilum misasianum,,Orchidaceae,Cyrtochilum,misasianum,EN,Aceptado,P.Ortiz,gbif.org/species/2833116
Árbol,Dracula alcithoe,,Orchidaceae,Dracula,alcithoe,EN,Aceptado,Luer & R.Escobar,gbif.org/species/166232302
Árbol,Dracula amaliae,,Orchidaceae,Dracula,amaliae,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818679
Árbol,Dracula andreettae,,Orchidaceae,Dracula,andreettae,VU,Aceptado,(Luer) Luer,gbif.org/species/2818662
Árbol,Dracula aphrodes,,Orchidaceae,Dracula,aphrodes,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818625
Árbol,Dracula bella,Banderita Linda,Orchidaceae,Dracula,bella,VU,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818778
Árbol,Dracula bellerophon,,Orchidaceae,Dracula,bellerophon,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818762
Árbol,Dracula benedictii,,Orchidaceae,Dracula,benedictii,VU,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818743
Árbol,Dracula berthae,,Orchidaceae,Dracula,berthae,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818700
Árbol,Dracula carcinopsis,,Orchidaceae,Dracula,carcinopsis,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818632
Árbol,Dracula chiroptera,,Orchidaceae,Dracula,chiroptera,VU,Aceptado,Luer & Malo,gbif.org/species/2818720
Árbol,Dracula citrina,,Orchidaceae,Dracula,citrina,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818675
Árbol,Dracula cochliops,,Orchidaceae,Dracula,cochliops,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818659
Árbol,Dracula cutis-bufonis,Piel de sapo,Orchidaceae,Dracula,cutis-bufonis,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818846
Árbol,Dracula decussata,,Orchidaceae,Dracula,decussata,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818767
Árbol,Dracula diabola,,Orchidaceae,Dracula,diabola,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818729
Árbol,Dracula diana,,Orchidaceae,Dracula,diana,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818717
Árbol,Dracula exasperata,,Orchidaceae,Dracula,exasperata,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818628
Árbol,Dracula gigas,,Orchidaceae,Dracula,gigas,VU,Aceptado,(Luer & Andreetta) Luer,gbif.org/species/2818713
Árbol,Dracula gorgona,,Orchidaceae,Dracula,gorgona,VU,Aceptado,(A.H.Kent) Luer & R.Escobar,gbif.org/species/8692711
Árbol,Dracula gorgonella,,Orchidaceae,Dracula,gorgonella,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818643
Árbol,Dracula insolita,,Orchidaceae,Dracula,insolita,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818664
Árbol,Dracula lehmanniana,,Orchidaceae,Dracula,lehmanniana,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818806
Árbol,Dracula lemurella,,Orchidaceae,Dracula,lemurella,CR,Aceptado,Luer & R.Escobar,gbif.org/species/2818780
Árbol,Dracula levii,,Orchidaceae,Dracula,levii,EN,Aceptado,Luer,gbif.org/species/2818678
Árbol,Dracula ligiae,,Orchidaceae,Dracula,ligiae,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818661
Árbol,Dracula minax,,Orchidaceae,Dracula,minax,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818721
Árbol,Dracula nosferatu,,Orchidaceae,Dracula,nosferatu,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818822
Árbol,Dracula nycterina,,Orchidaceae,Dracula,nycterina,EN,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818769
Árbol,Dracula octavioi,,Orchidaceae,Dracula,octavioi,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818758
Árbol,Dracula ophioceps,,Orchidaceae,Dracula,ophioceps,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818718
Árbol,Dracula orientalis,,Orchidaceae,Dracula,orientalis,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818687
Árbol,Dracula ortiziana,,Orchidaceae,Dracula,ortiziana,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818674
Árbol,Dracula pholeodytes,,Orchidaceae,Dracula,pholeodytes,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818629
Árbol,Dracula posadarum,,Orchidaceae,Dracula,posadarum,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818754
Árbol,Dracula psittacina,,Orchidaceae,Dracula,psittacina,VU,Aceptado,(Rchb.f.) Luer & R.Escobar,gbif.org/species/2818715
Árbol,Dracula robledorum,,Orchidaceae,Dracula,robledorum,EN,Aceptado,(P.Ortiz) Luer & R.Escobar,gbif.org/species/2818724
Árbol,Dracula roezlii,,Orchidaceae,Dracula,roezlii,VU,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818705
Árbol,Dracula sergioi,,Orchidaceae,Dracula,sergioi,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818627
Árbol,Dracula severa,,Orchidaceae,Dracula,severa,EN,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818840
Árbol,Dracula sibundoyensis,,Orchidaceae,Dracula,sibundoyensis,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2818826
Árbol,Dracula syndactyla,,Orchidaceae,Dracula,syndactyla,VU,Aceptado,Luer,gbif.org/species/2818722
Árbol,Dracula velutina,,Orchidaceae,Dracula,velutina,VU,Aceptado,(Rchb.f.) Luer,gbif.org/species/2818692
Árbol,Dracula verticulosa,,Orchidaceae,Dracula,verticulosa,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818631
Árbol,Dracula villegasii,,Orchidaceae,Dracula,villegasii,VU,Aceptado,Königer,gbif.org/species/2818832
Árbol,Dracula vinacea,,Orchidaceae,Dracula,vinacea,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818823
Árbol,Dracula vlad-tepes,,Orchidaceae,Dracula,vlad-tepes,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2818800
Árbol,Elleanthus cinnabarinus,,Orchidaceae,Elleanthus,cinnabarinus,CR,Aceptado,Garay,gbif.org/species/2839208
Árbol,Embreea rodigasiana,,Orchidaceae,Embreea,rodigasiana,CR,Aceptado,(Claes ex Cogn.) Dodson,gbif.org/species/2839396
Árbol,Epidendrum amayense,,Orchidaceae,Epidendrum,amayense,EN,Aceptado,Hágsater,gbif.org/species/5320871
Árbol,Epidendrum ampelomelanoxeros,,Orchidaceae,Epidendrum,ampelomelanoxeros,EN,Aceptado,"Hágsater, E.Santiago & E.Parra",gbif.org/species/9330164
Árbol,Epidendrum cleefii,,Orchidaceae,Epidendrum,cleefii,VU,Aceptado,Hágsater & E.Santiago,gbif.org/species/6315964
Árbol,Epidendrum decurviflorum,,Orchidaceae,Epidendrum,decurviflorum,EN,Aceptado,Schltr.,gbif.org/species/5321253
Árbol,Epidendrum fusagasugaense,,Orchidaceae,Epidendrum,fusagasugaense,EN,Aceptado,"E.Parra, Hágsater & L.Sánchez",gbif.org/species/166234329
Árbol,Epidendrum heliconaense,,Orchidaceae,Epidendrum,heliconaense,EN,Aceptado,Hágsater & E.Santiago,gbif.org/species/6315947
Árbol,Epidendrum magnibracteum,,Orchidaceae,Epidendrum,magnibracteum,EN,Aceptado,Kraenzl.,gbif.org/species/5321207
Árbol,Epidendrum ortizii,,Orchidaceae,Epidendrum,ortizii,EN,Aceptado,Hágsater & E.Santiago,gbif.org/species/9537580
Árbol,Epidendrum pazii,,Orchidaceae,Epidendrum,pazii,EN,Aceptado,Hágsater,gbif.org/species/5320499
Árbol,Epidendrum sisgaense,,Orchidaceae,Epidendrum,sisgaense,VU,Aceptado,Hágsater,gbif.org/species/5320721
Árbol,Epidendrum uribei,,Orchidaceae,Epidendrum,uribei,CR,Aceptado,A.D.Hawkes,gbif.org/species/5321188
Árbol,Epidendrum wolfii,,Orchidaceae,Epidendrum,wolfii,CR,Aceptado,Hágsater & E.Santiago,gbif.org/species/9415599
Árbol,Guarianthe patinii,,Orchidaceae,Guarianthe,patinii,VU,Aceptado,(Cogn.) Dressler & W.E.Higgins,gbif.org/species/166232348
Árbol,Houlletia conspersa,,Orchidaceae,Houlletia,conspersa,CR,Aceptado,P.Ortiz,gbif.org/species/2852419
Árbol,Lepanthes arbuscula,,Orchidaceae,Lepanthes,arbuscula,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2852014
Árbol,Lepanthes cingens,,Orchidaceae,Lepanthes,cingens,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851496
Árbol,Lepanthes cuatrecasasii,,Orchidaceae,Lepanthes,cuatrecasasii,CR,Aceptado,Luer,gbif.org/species/2851492
Árbol,Lepanthes eros,,Orchidaceae,Lepanthes,eros,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2851688
Árbol,Lepanthes escobariana,,Orchidaceae,Lepanthes,escobariana,EN,Aceptado,Garay,gbif.org/species/2851602
Árbol,Lepanthes fibulifera,,Orchidaceae,Lepanthes,fibulifera,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851294
Árbol,Lepanthes ligiae,,Orchidaceae,Lepanthes,ligiae,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851198
Árbol,Lepanthes oreibates,,Orchidaceae,Lepanthes,oreibates,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851215
Árbol,Lepanthes osiris,,Orchidaceae,Lepanthes,osiris,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851116
Árbol,Lepanthes parmata,,Orchidaceae,Lepanthes,parmata,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2851794
Árbol,Lepanthes pterygion,,Orchidaceae,Lepanthes,pterygion,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2852061
Árbol,Lepanthes quandi,,Orchidaceae,Lepanthes,quandi,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2851814
Árbol,Lepanthes tibouchinicola,,Orchidaceae,Lepanthes,tibouchinicola,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2852037
Árbol,Lycaste campbellii,,Orchidaceae,Lycaste,campbellii,VU,Aceptado,C.Schweinf.,gbif.org/species/5313379
Árbol,Lycaste macrobulbon,,Orchidaceae,Lycaste,macrobulbon,VU,Aceptado,(Hook.) Lindl.,gbif.org/species/5313456
Árbol,Lycaste schilleriana,,Orchidaceae,Lycaste,schilleriana,VU,Aceptado,Rchb.f.,gbif.org/species/5313487
Árbol,Lycaste xytriophora,,Orchidaceae,Lycaste,xytriophora,VU,Aceptado,Linden & Rchb.f.,gbif.org/species/5313454
Árbol,Lycomormium schmidtii,,Orchidaceae,Lycomormium,schmidtii,CR,Aceptado,A.Fernández,gbif.org/species/2797718
Árbol,Masdevallia alismifolia,,Orchidaceae,Masdevallia,alismifolia,EN,Aceptado,Kraenzl.,gbif.org/species/2848147
Árbol,Masdevallia angulifera,,Orchidaceae,Masdevallia,angulifera,VU,Aceptado,Rchb.f. ex Kraenzl.,gbif.org/species/2848789
Árbol,Masdevallia anisomorpha,,Orchidaceae,Masdevallia,anisomorpha,EN,Aceptado,Garay,gbif.org/species/2848743
Árbol,Masdevallia apparitio,,Orchidaceae,Masdevallia,apparitio,CR,Aceptado,Luer & R.Escobar,gbif.org/species/2848595
Árbol,Masdevallia arangoi,,Orchidaceae,Masdevallia,arangoi,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848580
Árbol,Masdevallia buccinator,,Orchidaceae,Masdevallia,buccinator,EN,Aceptado,Rchb.f. & Warsz.,gbif.org/species/2848239
Árbol,Masdevallia cacodes,,Orchidaceae,Masdevallia,cacodes,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2849113
Árbol,Masdevallia caesia,,Orchidaceae,Masdevallia,caesia,VU,Aceptado,Roezl,gbif.org/species/2849067
Árbol,Masdevallia caudata,Colibrí,Orchidaceae,Masdevallia,caudata,EN,Aceptado,Lindl.,gbif.org/species/2848414
Árbol,Masdevallia cerastes,,Orchidaceae,Masdevallia,cerastes,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848298
Árbol,Masdevallia clandestina,,Orchidaceae,Masdevallia,clandestina,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848955
Árbol,Masdevallia coccinea,Banderita | San Juanito,Orchidaceae,Masdevallia,coccinea,EN,Aceptado,Linden ex Lindl.,gbif.org/species/2848856
Árbol,Masdevallia crescenticola,,Orchidaceae,Masdevallia,crescenticola,VU,Aceptado,F.Lehm. & Kraenzl.,gbif.org/species/2848281
Árbol,Masdevallia discolor,,Orchidaceae,Masdevallia,discolor,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848509
Árbol,Masdevallia dryada,,Orchidaceae,Masdevallia,dryada,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848221
Árbol,Masdevallia elephanticeps,,Orchidaceae,Masdevallia,elephanticeps,EN,Aceptado,Rchb.f. & Warsz.,gbif.org/species/2848995
Árbol,Masdevallia encephala,,Orchidaceae,Masdevallia,encephala,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848894
Árbol,Masdevallia falcago,,Orchidaceae,Masdevallia,falcago,EN,Aceptado,Rchb.f.,gbif.org/species/2848310
Árbol,Masdevallia fasciata,,Orchidaceae,Masdevallia,fasciata,EN,Aceptado,Rchb.f.,gbif.org/species/2848283
Árbol,Masdevallia foetens,,Orchidaceae,Masdevallia,foetens,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2849033
Árbol,Masdevallia gilbertoi,,Orchidaceae,Masdevallia,gilbertoi,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848395
Árbol,Masdevallia heteroptera,,Orchidaceae,Masdevallia,heteroptera,VU,Aceptado,Rchb.f.,gbif.org/species/2848625
Árbol,Masdevallia hians,,Orchidaceae,Masdevallia,hians,VU,Aceptado,Linden & Rchb.f.,gbif.org/species/2848590
Árbol,Masdevallia hieroglyphica,,Orchidaceae,Masdevallia,hieroglyphica,EN,Aceptado,Rchb.f.,gbif.org/species/2848824
Árbol,Masdevallia hortensis,,Orchidaceae,Masdevallia,hortensis,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848381
Árbol,Masdevallia hylodes,,Orchidaceae,Masdevallia,hylodes,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848205
Árbol,Masdevallia ignea,,Orchidaceae,Masdevallia,ignea,EN,Aceptado,Rchb.f.,gbif.org/species/2848054
Árbol,Masdevallia indecora,,Orchidaceae,Masdevallia,indecora,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2849143
Árbol,Masdevallia leontoglossa,,Orchidaceae,Masdevallia,leontoglossa,EN,Aceptado,Rchb.f.,gbif.org/species/2848970
Árbol,Masdevallia ludibunda,,Orchidaceae,Masdevallia,ludibunda,VU,Aceptado,Rchb.f.,gbif.org/species/2848472
Árbol,Masdevallia macrura,,Orchidaceae,Masdevallia,macrura,EN,Aceptado,Rchb.f.,gbif.org/species/4935157
Árbol,Masdevallia mandarina,,Orchidaceae,Masdevallia,mandarina,VU,Aceptado,(Luer & R.Escobar) Luer,gbif.org/species/2848510
Árbol,Masdevallia marthae,,Orchidaceae,Masdevallia,marthae,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848951
Árbol,Masdevallia mastodon,,Orchidaceae,Masdevallia,mastodon,VU,Aceptado,Rchb.f.,gbif.org/species/2848831
Árbol,Masdevallia medusa,,Orchidaceae,Masdevallia,medusa,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848670
Árbol,Masdevallia mejiana,,Orchidaceae,Masdevallia,mejiana,EN,Aceptado,Garay,gbif.org/species/2848553
Árbol,Masdevallia melanoxantha,,Orchidaceae,Masdevallia,melanoxantha,VU,Aceptado,Linden & Rchb.f.,gbif.org/species/2848486
Árbol,Masdevallia meleagris,,Orchidaceae,Masdevallia,meleagris,VU,Aceptado,Lindl.,gbif.org/species/2848459
Árbol,Masdevallia misasii,,Orchidaceae,Masdevallia,misasii,EN,Aceptado,Braas,gbif.org/species/2848017
Árbol,Masdevallia mooreana,,Orchidaceae,Masdevallia,mooreana,EN,Aceptado,Rchb.f.,gbif.org/species/2849082
Árbol,Masdevallia mutica,,Orchidaceae,Masdevallia,mutica,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848733
Árbol,Masdevallia navicularis,,Orchidaceae,Masdevallia,navicularis,VU,Aceptado,Garay & Dunst.,gbif.org/species/2848665
Árbol,Masdevallia niesseniae,,Orchidaceae,Masdevallia,niesseniae,CR,Aceptado,Luer,gbif.org/species/2848474
Árbol,Masdevallia nivea,,Orchidaceae,Masdevallia,nivea,VU,Aceptado,(Luer & R.Escobar) Luer & R.Escobar,gbif.org/species/2848410
Árbol,Masdevallia odontocera,,Orchidaceae,Masdevallia,odontocera,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848092
Árbol,Masdevallia os-draconis,,Orchidaceae,Masdevallia,os-draconis,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848886
Árbol,Masdevallia oscarii,,Orchidaceae,Masdevallia,oscarii,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848940
Árbol,Masdevallia pachyantha,,Orchidaceae,Masdevallia,pachyantha,VU,Aceptado,Rchb.f.,gbif.org/species/2848724
Árbol,Masdevallia pachysepala,,Orchidaceae,Masdevallia,pachysepala,EN,Aceptado,(Rchb.f.) Luer,gbif.org/species/2848672
Árbol,Masdevallia pardina,,Orchidaceae,Masdevallia,pardina,VU,Aceptado,Rchb.f.,gbif.org/species/2848228
Árbol,Masdevallia pastinata,,Orchidaceae,Masdevallia,pastinata,VU,Aceptado,Luer,gbif.org/species/2848117
Árbol,Masdevallia pescadoensis,,Orchidaceae,Masdevallia,pescadoensis,EN,Aceptado,Luer & R.Escobar,gbif.org/species/166233105
Árbol,Masdevallia pteroglossa,,Orchidaceae,Masdevallia,pteroglossa,VU,Aceptado,Schltr.,gbif.org/species/2848984
Árbol,Masdevallia pterygiophora,,Orchidaceae,Masdevallia,pterygiophora,EN,Sinónimo,Luer & R.Escobar,gbif.org/species/166229993
Árbol,Masdevallia purpurella,,Orchidaceae,Masdevallia,purpurella,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848832
Árbol,Masdevallia racemosa,,Orchidaceae,Masdevallia,racemosa,VU,Aceptado,Lindl.,gbif.org/species/2848557
Árbol,Masdevallia renzii,,Orchidaceae,Masdevallia,renzii,VU,Aceptado,Luer,gbif.org/species/2848146
Árbol,Masdevallia rhinophora,,Orchidaceae,Masdevallia,rhinophora,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848020
Árbol,Masdevallia saltatrix,,Orchidaceae,Masdevallia,saltatrix,VU,Aceptado,Rchb.f.,gbif.org/species/2848593
Árbol,Masdevallia sanctae-rosae,,Orchidaceae,Masdevallia,sanctae-rosae,VU,Aceptado,Kraenzl.,gbif.org/species/2848505
Árbol,Masdevallia schizantha,,Orchidaceae,Masdevallia,schizantha,VU,Aceptado,Kraenzl.,gbif.org/species/2848166
Árbol,Masdevallia schlimii,,Orchidaceae,Masdevallia,schlimii,VU,Aceptado,Linden ex Lindl.,gbif.org/species/2848093
Árbol,Masdevallia schmidt-mummii,,Orchidaceae,Masdevallia,schmidt-mummii,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848013
Árbol,Masdevallia scobina,,Orchidaceae,Masdevallia,scobina,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2849018
Árbol,Masdevallia segurae,,Orchidaceae,Masdevallia,segurae,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848988
Árbol,Masdevallia sernae,,Orchidaceae,Masdevallia,sernae,VU,Aceptado,Luer & R.Escobar,gbif.org/species/2848796
Árbol,Masdevallia siphonantha,,Orchidaceae,Masdevallia,siphonantha,VU,Aceptado,Luer,gbif.org/species/2848947
Árbol,Masdevallia stenorhynchos,,Orchidaceae,Masdevallia,stenorhynchos,EN,Aceptado,Kraenzl.,gbif.org/species/2848120
Árbol,Masdevallia sumapazensis,,Orchidaceae,Masdevallia,sumapazensis,VU,Aceptado,P.Ortiz,gbif.org/species/2848958
Árbol,Masdevallia trochilus,Colibrí,Orchidaceae,Masdevallia,trochilus,VU,Aceptado,Linden & André,gbif.org/species/2848769
Árbol,Masdevallia urceolaris,,Orchidaceae,Masdevallia,urceolaris,EN,Aceptado,Kraenzl.,gbif.org/species/2848448
Árbol,Masdevallia valenciae,,Orchidaceae,Masdevallia,valenciae,EN,Aceptado,Luer & R.Escobar,gbif.org/species/2848278
Árbol,Masdevallia velella,,Orchidaceae,Masdevallia,velella,VU,Aceptado,Luer,gbif.org/species/2848749
Árbol,Masdevallia velifera,,Orchidaceae,Masdevallia,velifera,EN,Aceptado,Rchb.f.,gbif.org/species/4935159
Árbol,Masdevallia ventricularia,,Orchidaceae,Masdevallia,ventricularia,EN,Aceptado,Rchb.f.,gbif.org/species/2849133
